content,url,coordinates,problem_type,category_type,tone,emotionality,probability
"Уважаемые разработчики сбера. Обьясните, почему после обновления в вашей версии 12.6.0 цифры на клавиатуре ввода входа в сбербанк онлайн уменьшились до такого размера, что палец перекрывает две кнопки? У супруга такая же проблема. Никакие перестановки телефона не помогают. А тех поддержка заявляет, что у вас все хорошо, виноват телефон. Вы в интернете почитайте, сколько людей жалуются на данную проблему, а потом обвиняйте телефоны",319,Инта,2,1,2,0,1
"они не сразу снимают ,вот уже как три дня лежат деньги на счету,и Сбер их не списывает",88,Неизвестно,2,2,2,0,0
"вот моя начальница позавчера посетила ваше отделение, и работник отделения СберБанка ей настойчиво предлагал подключить к карте некую защиту, пугая: мол карты, и даже с чипом - нынче могут считать через доработанный эквайринговый аппарат, и после этого сделать дубликат карты, но уже без пин-кода, и безнаказанно воровать деньги. если это официальная позиция банка, и банк признаёт, что чиповые карты SBERBANK VISA / Master Card  имеют соответствующую дыру, и могут быть скопированы - я хочу чтобы вы это ПОДТВЕРДИЛИ. А так же чтобы пояснили мне, если подобная уязвимость реально существует - почему банк клиентам об этом публично не сообщает, а так же почему не происходит массово замена чиповых карт на более ""защищённый"" вариант если же сотрудник сбербанка ввёл мою начальницу в заблуждение, и подобной дыры нет, и безконтактно можно платить всюду и везде, даже на оффлайн терминалах - то прошу от вас на эту тему официальный ответ! мы пойдём в это отделение чтобы встретиться с данным сотрудником сбербанка лично, т.к. если этой проблемы нет - то он просто пытается впарить ненужную услугу, не связанную с кражей/утерей карты.",58,Скопин,2,1,2,0,0
"С некоторых пор стало не возможно закрыть валютный сберегательный счет от сбербанка. Пункт действие-закрыть счет-продолжить есть, а дальше... нет подходящих счетов,чтобы перевести деньги, раньше все это работало, теперь нет, очень неудобно.",293,Неизвестно,2,2,0,0,1
"примерно 2 недели назад я заказал выпуск карты сберкидс для ребенка. До сих пор карта не появилась в моем личном кабинете, ребенок тоже не может подключить ее к мобильному приложению, потому что ""что-то пошло не так, попробуй еще раз"". До хелпдеск не достучаться. Две недели я не могу перевести ребенку деньги, и вынужден бегать по банкоматам снимать наличку! Что за бардак у вас творится? Если бы знал, сделал бы карту в другом банке.",51,Неизвестно,2,2,2,0,0
"С утра не могу зайти в Сбербанк-онлайн, перый раз такое! Когда все будет работать, кто знает?",527,Неизвестно,2,2,0,0,1
"Как так живу в Москве, и каждому второму звонят мошенники и представляются вашим банком, почему не реагируете 2 зведы вам.",917,Москва,2,1,2,0,0
Персонал не компетентный и служба поддержки сбербанка никакая. Приложение не удобное.,1036,Неизвестно,2,2,0,0,1
"Представились сотрудником финансовой безопасности сбербанка Сергеем Анатольевичем, спросили не терял ли я карту, когда я ответил, что не являюсь клиентом данного банка, стал спрашивать, а клиентом какого банка я являюсь. Короче, мошенники, не вздумайте им сообщать какую-либо информации о себе и о своих картах.",677,Короча,2,2,2,0,0
"Представляется работником Сбербанка и предлагает помощь в списании долгов, задаёт вопросы о жизни/семейном положении, знает информацию о ситуации, которой нет в общем доступе.",815,Неизвестно,1,3,0,0,1
"А специалист может рассказать почему сбер не может перечислить зарплату на карту вовремя? Предприятие перечисляет деньги в банки одновременно, во всех банках зарплату перечислили , но Сбербанк как всегда отстаёт, хотя алименты и отпускные на сбер пришли , если вы там не успеваете провести операции , то работайте значит по ночам",192,Неизвестно,2,2,2,0,1
"У Сбербанка снова произошел сбой. Вчера я заметила, что банк 2 раза снял деньги с карты за покупку, совершенную накануне. Обещают в течение 5 дней вернуть. Говорят, не по их вине.",660,Неизвестно,2,2,2,0,1
"Тюмень! Не рекомендую вам использовать данный банк, вам потом постоянно ночью будут звонить мошенники, лучше идите в Тинькофф",931,Тюмень,1,3,2,0,0
Мошенники. От Сбербанка задавали вопросы о картах : сколько на счете средств и прочее,736,Неизвестно,2,2,0,0,1
"Обслуживание в филиале сбербанка на Пушкинской, спб, отвратительное,очередь в 4 человека к единтсвенному рабочему банкомату может долго длиться…",1005,Пушкино,2,1,2,0,1
"Что за жесть? Ужасный голосовой помощник. Надо пройти огонь, воду и медные трубы, чтобы связаться с оператором. Все 3 попытки были неудачные. Помощник сбрасывает звонок. ",876,Неизвестно,2,1,2,0,1
"Не устанавливается последнее обновление от сбера. После удаления и перезагрузки , приложение не устанавливается . Телефон Blackview BV9100, девятый андроид. Установливается только с флешки .",335,Неизвестно,2,2,2,0,1
"100% развод мошенников. Представили сотрудниками сбера. Повелась первые минуты разговора, т.к. Прислали SMS с номера 900 от службы безопасности банка и документ с реквизитами и печатями банка о регистрации мошеннических действий по моей карте. Работают все изощренней. Клала трубку, перезванивали с других номеров. Их сейчас тоже внесу в эту базу. Позже созвонились со сбером сама, мне подтвердили, что это были мошенники.",868,Неизвестно,1,3,2,0,0
"мошенники, якобы техническая служба Сбербанка. говорю, что не являюсь вашим клиентом, они говорят что с моего счета, открытого не в Сбербанке, пытаются 17 тыс перевести. ",750,Неизвестно,2,2,2,0,1
"Подскажите, в банкомате оставлена карта ,о чем СМС пришло. В это отделение смогу только вечером завтра съездить за ней.С утра нужны будут деньги ,могу я получить их через кассу с паспортом в другом отделении?И второй вопрос.Есть ещё две карты Сбербанка.Можно через терминал ,именно через терминал  с их помощью перевести деньги со счёта забытой карты ,на счёт одной из двух которые на руках?Спасибо.",38,Неизвестно,1,2,0,0,1
Не работают банкоматы рядом с метро Василеостровская. Для информации.,1063,Неизвестно,2,1,0,0,1
"Уважаемые разработчики, прошу решить проблему с зачисление средств на СберКидс. Почему каждый раз при попытке перечислить средства на СберКидс мне приходится проходить процедуру смены пользователя?",338,Неизвестно,2,2,0,0,1
"в приложении сбера всё сравнительно неплохо, кроме некоторых мелочей. Так, при просмотре уведомлений их можно выбирать только по одному, и нет кнопки ""выбрать все"". Они накапливаются, и надо бы почистить ленту, но сотни раз жать на кнопку что-то хочется. Второе важное неудобство - пропала возможность написать письмо в поддержку. Остался лишь чат с роботом, который только выдает стандартные инструкции, а по любому более или менее сложному вопросу приходится идти в банк.",204,Неизвестно,2,1,0,1,0
"Сбербанк, банк мошенников и воров, которые пытаются красть деньги с карты. Москва, не рекомендую им пользоваться.",904,Москва,2,1,2,0,1
"Мошенники. Представляются от сбербанка. Вежливые, сначала пугают, что из другого города подана заявка на кредит. Потом подводят к тому, чтобы войти в приложение и дальше классика, номер из смс и так далее. ВНИМАНИЕ МОШЕННИКИ ",708,Неизвестно,2,2,0,1,1
"В личном кабинете сбера висит просроченная катра, владелец которой не будет ее перевыпускать, мне по моему номеру телефона переводят деньги и они попадают не на мою действующую карту, а на просроченную, владельцем которой не являюсь и с которой не могу их перевести на савою карту. Это последнее обстоятельство, которое вынуждает уйти из этого банка. Что делает у меня на странице просроченная карта??? Почему на нее попадают деньги??? Почему не могу их снять??? Удалил основную карту и ваш лохотрон",348,Перевоз,2,2,2,2,1
Сотрудник сбербанка совсем не хочется работать сегодня получил карту ложу на него деньги на карту и перевожу их на киви а мне и взяли и заблокировали учётную записи и пишу подозрительных платеж и его приостовилт ну хотя мне деньги на киви пришли написано позвонить на 900 для возобновления работы я позвонил там сказали что мне позвонит сотрудник уже часа 3-4 жду я он и несобирается мне звонить походу,160,Перевоз,2,1,0,0,1
"сбер думает о том, как не нарушить закон. Если нарушит, то получит наказание от штрафа до лишения лицензии. Подобные вопросы следует задавать суду и приставам, а не банку.",10,Неизвестно,1,2,2,0,0
Не могу перевести деньги на другую карту в приложении,483,Неизвестно,1,3,2,0,1
"Представились Сбербанком. Сказали, что через онлайн приложение кто-то пытался оформить от моего имени кредит. Просили назвать номер договора со Сбербанком или номер карты.",788,Неизвестно,2,2,0,0,1
После очередного обновления перестал работать нижний ряд цифр (7 8 9) на экране ввода пароля. На тел. Андроид 7. Войти при наличи этих цифр в пароле невозможно. Шрифт их стал намного меньше. Разработчики  сбера косячат. Верните старую версию.,352,Неизвестно,1,4,2,0,1
Петропавловск-Камчатский. Не работает приложение Сбербанк онлайн.,557,ПетропавловскКамчатский,2,2,2,0,1
"Один сплошной обман и вранье. Мужу скинули на карту деньги, он не смог их снять в отделении т.к. закончились наличные в банкомате. ",1056,Неизвестно,2,1,0,0,1
"Взяли пароль в банкомате для регистрации в Сбербанк-онлайн, пишет ""в доступе отказано"", типа не верный пароль или логин",472,Неизвестно,2,2,2,0,1
"Не берите кредитки Сбера, все глючит и вообще не понятно, какой баланс. Потом в минус ещё насчитают наверное. Бездари",83,Неизвестно,2,2,0,0,1
"Приложение тормозит, глючит. Информация о счёте обновляется очень медленно, для ускорения приходиться заново запускать приложение. И это не всегда помогает. Сумма на счёте не подгружается, либо висит блестящая плашка либо три точки. У Сбер Кидс отваливается история операций, и не возможно пополнить. Очистка кеша помогает на один раз. Чат вообще бесполезная штука. Почта указанная в плей маркете вообще не обслуживается.",318,Маркс,2,2,2,0,1
"В чате не могу дождать нормальной поддержки, все долго, приложение сбербанка вылетает.",1008,Неизвестно,2,2,0,0,1
"Мошенники, от имени сбербанка. Пытались уговорить поставить якобы антивирус.",798,Неизвестно,2,2,2,0,1
"Идиотский робот помощник от сбера который ни разу за все время не помог и постоянное отсутствие операторов. Постоянное. Для того чтоб решить простейший вопрос - узнать почему не проходит платёж по карте, что случается постоянно, надо потратить просто уйму времени и нервов. И обратной связи никакой, как будто руководство банка думает что все идеально.",218,Неизвестно,1,4,2,0,0
"Сбербанк устраните баг  после последнего обновления не отображаются карты, только счета и вклады!!!",279,Неизвестно,1,3,0,1,1
"А мне вот позвонили, представились сотрудником кредитного отдела сбербанка Сказали, что я оформила заявку на потребительский кредит и начали выяснять почему я указала что-то там в причинах Ну, клоуны, не меньше Кто-то ведётся ещё на ваши разводы? ",826,Неизвестно,1,4,2,0,1
На всех банкоматах синий экран. Сбербанк вам что взломали? ,926,Неизвестно,1,4,0,0,1
+7 499 657 02 93 этот номер принадлежит сбербанку?,56,Неизвестно,2,0,0,0,1
"11.03.21 у меня был день рождения, коллеги на работе поздравили деньгами. Возле моего офиса находится отделение сбербанка (В). Зашла после работы в 18:13 в сбер кинуть «подарок» на карту. В купюроприемник положила деньги пачкой, банкомат пересчитал деньги, выдал сумму на монитор и одну 5-ти тысячную банкноту вернул, был край загнут. Я машинально нажала кнопку внести деньги, при этом расправляя пятитысячную купюру. Далее повторно внесла эти 5000. Когда вышла из банка поняла, что сумма какая -то странная, на чеке указано круглая сумма и 500 рублей. Я несколько раз пересчитала сколько денег должно было упасть на карту и поняла что не хватает 4 500 руб! То есть банкомат зачислил вместо 5000, 500 рублей. Вот такой подарок в день рождения мне сделал сбербанк! Я вернулась в банк, написала заявление о случившемся ( номер обращения ... 846300/1). Сотрудница сказала, Вы не волнуйтесь, разберемся. Я со спокойной душой ушла, а на следующий день получила сообщение в сбербанконлайн: «11.03.21 сбоев в банкомате не было, оснований для зачисления суммы 4 500 руб. нет»! Я позвонила на горячую линию, оставила повторное заявления с указанием сколько положила купюр в банкомат и какого номинала. Сказали ждать ответ до 20.03.21. 18.03.21 поступил тот же ответ в сберонлайн: «оснований для зачисления нет»!!! Не ожидала от такого крупного банка такого халатного и пофигического отношения к своим постоянным клиентам. Очень не приятно! Закрою все счета в сбере. Позор!!!",1024,Неизвестно,1,0,2,2,1
"Перед использованием посотоянно требует обновление. После чего заходит в play маркет и естественно не обновляется, т.к. уже обновлён со всех сторон. Далее заходит в сберонлайн и уже только после этого его можно открыть и использовать для оплаты. Возмож",376,Маркс,2,2,0,0,1
"Жулики какие то, представляются Сбербанком. Потом сбрасывают.",762,Неизвестно,1,3,2,0,1
"А он и не является. Офис Сбера - это уже частная территория, так же как и офис любой другой компании. Общественное место - это, к примеру, улица.",17,Неизвестно,1,2,0,0,0
Сочи. Сбер сдох. Хотя 30 мин. назад платил в магазине картой и получил перевод.,544,Перевоз,2,2,2,0,0
"Не входит в систему, грешит на логин/пароль, которые сохранены в браузере и не могут быть неправильными. Как платить неизвестно.",621,Неизвестно,1,3,2,0,0
"С обеда невозможно войти в Сбербанк онлайн, не загружается ! Казань !",419,Казань,2,2,2,0,1
"Не работают онлайн сервисы, ни с банкомата, ни с компа",488,Неизвестно,2,2,0,0,1
"Жду того времени, когда уже вымрут все отслаьные банки о останется сбербанк, мб тогда все программисты починяет мобильные приложение и оно будет рабоать хорошо.",1064,Неизвестно,2,2,0,0,0
"Волгоград, не работает мобильное приложение, что за фигня второй раз за неделю?",589,Волгоград,2,2,2,0,1
"Приложение на единицу, кое-как работает сервис ""Свое дело"", задать вопрос по обслуживанию или продуктам некому, раньше отвечал оператор, но на свой запрос отправленный еще весной, я не получила ответа до сих пор (сейчас сентябрь), в диалоге отмечено, что все их специалисты заняты. На главной странице не отображаются деньги на счету, вместо них стоит многоточие.",255,Неизвестно,2,2,2,0,0
Казань. Сбер оставил меня без обеда. Не смог расплатиться...,619,Казань,1,3,0,0,0
"После обновления перестало работать приложение. При входе во всплывающем окне выводит код ошибки и текст, плохое соединение с интернетом, бла, бла, бла. Так вот, соединение с интернетом у меня отличное. Может это разработчики плохие? Вечные сбои и отсутствие стабильности в работе приложения.",328,Инта,2,2,2,0,1
"Москва, сбер взгрустнул",558,Москва,1,3,0,0,0
"Половина функций в приложении сбера недоступно. Пишет Для системы ufs получение токена в данный момент недоступно. Ни карту свою посмотреть, ни перевод сделать. И пуш уведомления не включить, какую-то подписку требует.",270,Перевоз,1,3,0,0,1
"Сбербанк пей не оплачивает , все время тормозит , заказ делала в сбермаркете не смогла оплатить, пришлось на карту курьеру перевести деньги , карта мир , курьер сказал что у всех у кого карта мир и сбербанк пей не проходит оплата",337,Неизвестно,2,2,2,0,1
"Обычный сбербанк. Редко им пользуюсь, приложение лагает, не удобно расположен офис для меня.",969,Неизвестно,1,3,0,0,1
"Звонили мошенники. Представились тех.службой сбер банка. Когда поняли, что их раскуcили, матерился и бросили трубку ",724,Неизвестно,1,3,0,0,0
Мошенники! Однозначно! Сначала звонили с сотового телефона. Потом с этого номера. Представлялись технический отдел сбербанка. Якобы поступил запрос на смену номера телефона от меня. Просто заблокировала номер. Будьте внимательны!,760,Неизвестно,1,3,2,0,1
"Согласна со всеми негативными комментариями, люди это самый отвратительный банк, не за что не связываетесь с ними. Сбербанк, мб вы уже сделаете удобным ваше мобильное приложение, которое после каждого обновления все хуже и хуже работает.",1003,Неизвестно,2,1,2,0,0
"Великий Новгород, в Сбербанк-онлайн не зайти и не провести операцию платежа картой.",606,Велиж,1,3,0,0,1
Мошенники. Представляются службой мониторинга сбербанка. Задают вопросы про карты и остатки на счете.,827,Неизвестно,2,2,2,0,1
"У меня одного приложение вчера обновил, сегодня зашёл и почему то в приложение сбер онлайн изменился шрифт, стал ужасный какой-то будто андроид, можно поменять его как-то? Глаза режет",89,Неизвестно,2,2,0,0,1
"Мошенники , звонит робот и сообщает, что по счету сбербанка была заявка на смену основного контактного телефонного номера.",732,Неизвестно,2,1,2,0,1
Не открывается приложение на айфоне в Питере,438,Питер,1,3,2,0,1
"Приложение сбербанк онлайн не работает уже неделю. В поддержке утверждают, чтопроблемы с интернетом. И ничего не делают. Переустанавливала, перезагружала, подключала и с мобильного интернета и с wi-fi. Ничего не помогает",634,Инта,2,2,2,0,1
"Здравствуйте, номер +7 499 657 02 93 принадлежит сбербанку?",35,Неизвестно,1,2,0,0,1
"Какой-то кошмар: являюсь давнишним клиентом банка. На счете держу депозит. Не смогла закрыть через приложение, просто зеленый экран.",1048,Неизвестно,1,3,0,0,0
"Максимально долгое приложение. Время работы экрана на моем телефоне 2 минуты, так вот вход в приложение происходит примерно 2 минуты!!! В приложениях других банков это происходит мгновенно только сбербанк чудит. Затем начинается проверка, тоже минуты 2-3. Войдя в приложение я не могу сразу увидеть сколько средств осталось, какие продукты у меня есть, приложение долго проверяет эту информацию, в итоге просто для того, чтобы войти потребуется примерно 5 минут. Интернет соединение стабильно! С ним нет проблем!",394,Инта,1,3,2,1,0
"У сбербанка худшнее онлайн приложение, долго грузится гланвый экран, когда я пробую оплатить комуналку вылетает. Возможно у меня старый телефон, но это же как то можно оптимизировать.",938,Неизвестно,2,2,0,0,1
"И да, оператор сотоврй связи у меня Сбермобайл, к нему же тогда вопрос, почему не пришла смс?",40,Неизвестно,2,4,0,0,1
"28.02.2019 Тюмень, Сбербанк Онлайн опять упал. При попытке провести любой платеж в десктоп верии видим ""Услуга временно недоступна... бла бла бла..."", в мобильном приложении - та же история...",496,Тюмень,1,3,0,0,0
"Бывает ну очень много народа. Банкоматы на входе (3 штуки) практически никогда все не работают. Поэтому чтобы снять/внести деньги, иногда надо ждать по 20-30 минут",981,Неизвестно,1,4,0,0,1
"Предлагают перезвонить, получить информацию от Сбербанка, в банке о таких звонках не знают.",755,Неизвестно,2,1,2,0,0
"Все ваши последние обновления в сберонлайне привели к тому, что аккумулятор на айфоне при пользовании приложением садится по одному проценту каждые 10 секунд при этом аккумулятор греется.",273,Неизвестно,0,3,0,0,0
сбербанк онлайн на айфоне перестал отвечать на клик и завис. Поработали со стабильностью?,226,Неизвестно,1,3,2,0,1
Звонили якобы из сбербанка для уточнения паспортных данных ,706,Неизвестно,2,1,2,0,1
"Воняет человеческими экскрементами, грязь, бомжи, вонь, в помещении с банкоматами. В самом отделении не работают табло с очередью, грязно, холодно, в общем все для людей.",965,Неизвестно,1,4,0,0,1
"Отвратительно. Оплатил сберпрайм плюс, а он не работает. Не отображается в параметрах карты к которой он привязан. Не отображается и не распространяется на приложения сбермегамаркет и сбераптека. И с карты на которую он должен распространялся списалась оплата са информирование, хотя с подключенгой услугой сбермррайм плюс не должна сниматься оплата. Недавно перешёл в Сбербанк из другого банка и полное разочарование",330,Неизвестно,1,3,2,0,0
"В последнее время в Сбербанке очень большие очереди ! Очень много людей ! Что происходит ? Не могу нормально снять деньги в банкомате, ужасно долго он работает",997,Неизвестно,2,1,0,0,1
Калининград - Сбер отвалился,554,Калининград,2,2,0,0,0
Москва. Не возможно войти в Сбербанк онлайн с любого устройства с 12:30МСК. Платеж по карте (покупка в Steam) прошел удачно.,520,Москва,1,3,0,0,1
"Вечно с сбербанком проблемы оплачиваю в онлайн банке квитанции , после последнего обнавления приложения по водоканалу исчезли строчки ,где нужно проставить показания счетчивов воды.в водоканале ссылаются на сбербанк, сбербанк на поставщика воды , даже в сбербанке на терминале тоже самое ,что и в онлайн банке ,где найти ответ ,куда исчезают строчки.",375,Неизвестно,1,3,0,0,1
Не работает закрытие вклада в Web версии Сбербанк Онлайн.,402,Неизвестно,2,2,0,0,1
"Ужасный банк в Фрунзенской. Все сотрудники, будто спят. Полувымерший банк. Ожидание в очереди час, банкоматы не работают. при этом весь этот час 2 сотрудника обслуживали 2 клиентов. Ужаснейший банк из всех банков.",1035,Неизвестно,2,1,2,0,0
"Это сбербанк, у него не может быть 5, именно в этом отделении - вечные очереди к банкоматам, которые зачастую не работают",974,Неизвестно,1,4,0,0,1
Типа Сбербанк... Вроде как на моё имя взяли кредит 11 мин назад… Просили подтвердить паспортные данные.,739,Неизвестно,2,2,0,0,0
Не приходят смс,482,Неизвестно,2,0,0,0,1
"Вот чем думают те кто разрабатывает ПО у сбербанка? 90% платёжных документов приходит сейчас на мобильный(маил, вотсаб, вибер, телеграм, и тому подобное)! И штрих код сохраняется в фотоальбоме! Как сканировать свой фотоальбом, вы что из каменного века мамонты? Как мне сканировать с другого аппарата штрих код?! Это было 10 лет назад с пк штрихкоды сканируешь! Ни фига вы не думаете головой! За что вам тут 5 звезд ставят??!??! Надеюсь мой отзыв прочитают, возможно захотят исправить или связаться со мной, вот номер телефона +79645756769 Артём Штаров Е. Ребята кто понимает меня напишите отзыв подобного плана.",251,Неизвестно,2,2,0,1,0
"Заходишь в историю по операциям там вообще ничего не понятно, показывает операции совершенные за сегодня когда они были совершены вчера??? Что следующее еще будет? Приложение которое ничего не показывает или показывает с ошибками, безумно тормозной уведомлятор, верните как было, не сбербанк а черте че, начинают делать из банка соцсеть че за бред вообще.",216,Неизвестно,1,4,2,1,0
"Не работает мобильное приложение, не проходит оплата авиабилета",662,Неизвестно,1,3,2,0,1
"Удобный интерфейс, все грамотно разработано, пользоваться приятно. Но не продуманно, нет возможности сделать ссылку для пополнения своего счета. При перехода на которую будет написано, такой-то получит эти средства себе на счёт, чем вы там занметесь, сборище лентяев,а? Сбер банк возможно скоро такими темпами превратится в очередного неуклюжего мастодонта",361,Инта,2,2,0,0,0
